Velo,Total spin,True Spin,Spin Eff,Spin Direct,H. BREAK,V_BREAK,HORZ. ANGLE,GYRO,Pitch.Type,BU,Pitcher,Handedness
81,2090,1970,94.3,10:36,-13.8,15,3.6,-19.5,Changeup?,25.80246914,Jackson Venesko,L
74.7,1464,1124,76.8,10:36,-9.7,10.4,3.4,-39.8,Changeup?,19.59839357,Jackson Venesko,L
75.4,1453,1210,83.3,10:24,-11.8,9.9,3.4,-33.6,Changeup?,19.27055703,Jackson Venesko,L
78.2,1819,1537,84.5,10:14,-14.3,10.6,2.8,-32.3,Fastball?,23.26086957,Jackson Venesko,L
78.9,1913,1567,81.9,10:22,-13.4,11.1,2.3,-35,Fastball?,24.24588086,Jackson Venesko,L
78.2,1999,1861,93.1,10:38,-13.5,15.4,2.5,-21.4,Fastball?,25.56265985,Jackson Venesko,L
79,2083,1798,86.3,10:22,-14.6,12.7,1.6,-30.4,Fastball?,26.36708861,Jackson Venesko,L
79,2069,1560,75.4,10:40,-11.3,12,3.2,-41.1,Fastball?,26.18987342,Jackson Venesko,L
79.2,2091,1930,92.3,10:42,-13.1,16,2.6,-22.6,Fastball?,26.40151515,Jackson Venesko,L
89.3,1899,1827,96.2,11:46,-2.2,17.3,2.1,-15.8,Fastball?,21.26539754,Jackson Venesko,L
91.6,2009,1875,93.3,11:48,-2,16.9,3.7,-21.1,Fastball?,21.93231441,Jackson Venesko,L
72.6,0,0,0,0,0,0,0,0,Curveball?,0,Jackson Venesko,L
71.2,2071,953,46,5:32,2,-10.6,2.6,-62.6,Curveball?,29.08707865,Jackson Venesko,L
78.8,1989,445,22.4,5:22,1.5,-5.8,3.8,-77.1,Curveball?,25.24111675,Jackson Venesko,L
92.8,2141,2090,97.6,11:50,-2,18.9,3.1,-12.5,Fastball?,23.07112069,Jackson Venesko,L
91.3,2182,2137,97.9,11:52,-1.4,19.2,4.9,-11.7,Fastball?,23.8992333,Jackson Venesko,L
91.6,2156,2100,97.4,11:52,-1.5,18.9,5,-13.1,Fastball?,23.5371179,Jackson Venesko,L
93.3,2200,2144,97.5,11:44,-3.1,19.1,3.6,-12.9,Fastball?,23.57984995,Jackson Venesko,L
93.3,0,0,0,0,0,0,0,0,Fastball?,0,Jackson Venesko,L
91.5,0,0,0,0,0,0,0,0,Fastball?,0,Jackson Venesko,L
92.9,0,0,0,0,0,0,0,0,Fastball?,0,Jackson Venesko,L
91,2026,1974,97.4,11:28,-5.3,17.9,3.4,-13.1,Fastball?,22.26373626,Jackson Venesko,L
89.6,2080,2032,97.7,11:30,-5.4,18.7,4.8,-12.3,Fastball?,23.21428571,Jackson Venesko,L
75.6,2307,1630,70.7,1:18,9.9,11.9,-0.9,45,Fastball?,30.51587302,Alex Hunt,R
73.7,2157,1707,79.1,1:00,8.3,13.8,-2.3,37.7,Fastball?,29.26729986,Alex Hunt,R
74.3,0,0,0,0,0,0,0,0,Fastball?,0,Alex Hunt,R
69.7,2075,1708,82.3,1:08,9.4,14.3,-0.2,34.6,Fastball?,29.77044476,Alex Hunt,R
69.5,0,0,0,0,0,0,0,0,Fastball?,0,Alex Hunt,R
62,0,0,0,0,0,0,0,0,Fastball?,0,Alex Hunt,R
61.4,2068,1705,82.4,1:08,8,12.5,-1.2,34.5,Fastball?,33.68078176,Alex Hunt,R
86.8,2398,2372,98.9,1:08,12.6,18.2,0.9,8.4,Fastball?,27.62672811,Alex Hunt,R
86.5,0,0,0,0,0,0,0,0,Fastball?,0,Alex Hunt,R
87.3,0,0,0,0,0,0,0,0,Fastball?,0,Alex Hunt,R
79.6,0,0,0,0,0,0,0,0,Changeup?,0,Alex Hunt,R
85.5,2338,2300,98.4,1:06,12.1,18.4,0.9,10.2,Fastball?,27.34502924,Alex Hunt,R
79.9,0,0,0,0,0,0,0,0,Changeup?,0,Alex Hunt,R
81.2,2004,1506,75.1,1:14,10.4,12.5,-1,41.3,Changeup?,24.67980296,Alex Hunt,R
86.1,2325,2080,89.4,1:22,13.4,15.3,1.1,26.6,Fastball?,27.00348432,Alex Hunt,R
73.2,2398,1119,46.7,7:36,-8.3,-6.7,2.1,62.2,Curveball?,32.75956284,Alex Hunt,R
72.8,2472,716,29,8:56,-8.1,0.4,1.4,73.2,Curveball?,33.95604396,Alex Hunt,R
86.8,2319,2183,94.1,1:18,13.6,16.6,0.6,19.8,Fastball?,26.71658986,Alex Hunt,R
77.3,2716,620,22.8,9:24,-4.8,1.1,-0.6,76.8,Slider?,35.13583441,Alex Hunt,R
78.9,2121,522,24.6,11:14,-2.1,5.3,0.3,75.8,Slider?,26.88212928,Alex Hunt,R
87,2294,2147,93.6,1:14,12.6,16.6,0.4,20.7,2 Seam fastball?,26.36781609,Alex Hunt,R
87.4,2468,2448,99.2,1:10,13.3,18.8,0.3,7.2,2 Seam fastball?,28.23798627,Alex Hunt,R
87,2255,2138,94.8,1:16,13,16,-1.2,18.5,Fastball?,25.91954023,Alex Hunt,R
87.7,2386,2126,89.1,1:00,10.4,17.5,-0.3,27,Fastball?,27.2063854,Alex Hunt,R
84.1,2303,2263,98.3,0:42,7.9,20.7,-0.3,10.7,Fastball?,27.38406659,Alex Hunt,R
86.2,2400,2363,98.5,1:08,12.2,18.4,1.2,9.9,Fastball?,27.84222738,Alex Hunt,R
86.7,2209,2191,99.2,1:12,12.6,16.9,-1.4,7.3,Fastball?,25.47866205,Alex Hunt,R
86.3,2169,2026,93.4,1:08,11.5,16.7,-0.4,20.9,Fastball?,25.13325608,Alex Hunt,R
75.2,0,0,0,0,0,0,0,0,Slider?,0,Alex Hunt,R
83.8,2258,2220,98.3,1:10,12.6,17.8,-1,10.5,Fastball?,26.9451074,Alex Hunt,R
78.3,0,0,0,0,0,0,0,0,Changeup?,0,Alex Hunt,R
79.1,1506,1202,79.8,0:56,7.2,13.1,-0.2,37,Changeup?,19.0391909,Alex Hunt,R
84.4,2297,2186,95.2,1:10,12.3,16.7,-1.7,17.9,2 Seam fastball?,27.21563981,Alex Hunt,R
74.4,0,0,0,0,0,0,0,0,2 Seam fastball?,0,Alex Hunt,R
85.1,0,0,0,0,0,0,0,0,2 Seam fastball?,0,Alex Hunt,R
85.6,0,0,0,0,0,0,0,0,2 Seam fastball?,0,Alex Hunt,R
71.5,2375,1265,53.3,7:52,-11.2,-6.2,1.9,57.8,Curveball?,33.21678322,Alex Hunt,R
70.7,2293,1259,54.9,7:50,-11.4,-6.5,2.5,56.7,Curveball?,32.43281471,Alex Hunt,R
85.1,2225,2208,99.2,1:18,13.4,16.5,-0.8,7.2,Fastball?,26.14571093,Alex Hunt,R
74.4,2374,764,32.2,8:44,-7.2,-0.6,0.8,71.2,Slider?,31.90860215,Alex Hunt,R
75.5,0,0,0,0,0,0,0,0,Slider?,0,Alex Hunt,R
84.2,0,0,0,0,0,0,0,0,Fastball?,0,Alex Hunt,R
84.8,2189,2096,95.7,1:16,12.9,16,-2.3,16.8,Fastball?,25.81367925,Alex Hunt,R
83.4,0,0,0,0,0,0,0,0,Fastball?,0,Alex Hunt,R
84.5,2112,2096,99.3,1:12,12.6,17.1,-1.1,6.9,Fastball?,24.99408284,Alex Hunt,R
85,2217,2211,99.7,1:12,12.8,17.2,-1.5,4.2,Fastball?,26.08235294,Alex Hunt,R
84.8,2239,2234,99.8,1:08,11.8,17.6,-1.2,-4,Fastball?,26.40330189,Alex Hunt,R
77,2137,59,2.8,9:56,-1.4,-0.6,-2.4,88.4,Slider?,27.75324675,Jayson Hoopes,R
76.5,2218,253,11.4,0:22,0.2,1,-4,83.4,Slider?,28.99346405,Jayson Hoopes,R
87.9,2074,2052,98.9,0:42,7.4,18.9,-1.6,8.4,Changeup?,23.59499431,Jayson Hoopes,R
77.7,2017,2015,99.9,1:48,17.3,12.4,-3.6,2.2,Changeup?,25.95881596,Jayson Hoopes,R
78.8,1987,1942,97.7,1:48,16.4,11.5,-3.6,12.2,Changeup?,25.21573604,Jayson Hoopes,R
77.5,1920,1845,96.1,2:20,18.8,6.1,-5,16.1,Changeup?,24.77419355,Jayson Hoopes,R
80,1998,1938,97,1:56,17.3,10.4,-4.3,14,Changeup?,24.975,Jayson Hoopes,R
87.6,2286,2279,99.7,1:08,12,17.5,-2.5,4.5,Fastball?,26.09589041,Jayson Hoopes,R
90.6,2307,2156,93.4,1:16,12.5,15.4,-1.7,20.9,Fastball?,25.46357616,Jayson Hoopes,R
90.8,2390,2357,98.6,1:08,12.3,17.7,-0.8,9.5,Fastball?,26.3215859,Jayson Hoopes,R
89.4,2141,2130,99.5,1:12,12.2,17,-2.6,-5.9,Fastball?,23.94854586,Jayson Hoopes,R
88.5,2071,2064,99.7,1:16,12.7,16.1,-3.5,4.5,Fastball?,23.40112994,Jayson Hoopes,R
